startdate,usertype,gender,min_trip,max_trip,avg_trip
2020-12-18,Subscriber,male,117,2495,659.2181818181818
2020-12-18,Subscriber,undisclosed,696,696,696.0
2020-12-19,Customer,female,763,2833,1557.75
2020-12-19,Customer,male,1422,2668,1979.0
2020-12-19,Customer,undisclosed,390,144007,11059.533333333333
2020-12-19,Subscriber,female,185,5470,852.0
2020-12-19,Subscriber,male,125,65764,1400.3214285714287
2020-12-19,Subscriber,undisclosed,9346,9346,9346.0
2020-12-20,Customer,female,735,1150,909.3333333333334
2020-12-20,Customer,male,376,2492,982.3076923076923
2020-12-20,Customer,undisclosed,437,5844,1716.4444444444443
2020-12-20,Subscriber,female,158,1733,550.3478260869565
2020-12-20,Subscriber,male,102,7607,801.7256637168142
2020-12-20,Subscriber,undisclosed,1146,1511,1328.5
2020-12-21,Customer,female,328,1483,1077.0
2020-12-21,Customer,male,266,1364,657.5
2020-12-21,Customer,undisclosed,423,26853,3275.2631578947367
2020-12-21,Subscriber,female,91,2833,625.5555555555555
2020-12-21,Subscriber,male,88,6476,692.7225433526012
2020-12-21,Subscriber,undisclosed,1031,1917,1474.0
2020-12-22,Customer,female,633,1372,981.25
2020-12-22,Customer,male,168,3843,1627.3076923076924
2020-12-22,Customer,undisclosed,263,1659,813.1333333333333
2020-12-22,Subscriber,female,103,2646,627.1807228915662
2020-12-22,Subscriber,male,63,3105,609.9896907216495
2020-12-22,Subscriber,undisclosed,96,37574,7712.0
2020-12-23,Customer,female,265,15900,2910.3636363636365
2020-12-23,Customer,male,315,5969,1604.6875
2020-12-23,Customer,undisclosed,132,4520,794.525
2020-12-23,Subscriber,female,134,13469,807.2962962962963
2020-12-23,Subscriber,male,62,3075,535.498127340824
2020-12-23,Subscriber,undisclosed,623,970,822.25
2020-12-24,Customer,female,380,3995,1772.4
2020-12-24,Customer,male,243,7875,1826.6923076923076
2020-12-24,Customer,undisclosed,116,4712,1091.4716981132076
2020-12-24,Subscriber,female,111,3174,665.5757575757576
2020-12-24,Subscriber,male,61,6871,711.8980582524272
2020-12-24,Subscriber,undisclosed,380,704,542.0
2020-12-25,Customer,female,328,4240,1540.5
2020-12-25,Customer,male,611,3535,1187.7142857142858
2020-12-25,Customer,undisclosed,275,5055,1466.608695652174
2020-12-25,Subscriber,female,164,2960,977.5
2020-12-25,Subscriber,male,80,363145,5403.620253164557
2020-12-25,Subscriber,undisclosed,1208,2150,1671.25
2020-12-26,Customer,female,474,8612,2451.153846153846
2020-12-26,Customer,male,81,6754,1686.2173913043478
2020-12-26,Customer,undisclosed,136,8044,1319.2
2020-12-26,Subscriber,female,115,1590,426.17391304347825
2020-12-26,Subscriber,male,111,6580,836.3142857142857
2020-12-26,Subscriber,undisclosed,144,5333,2151.6666666666665
2020-12-27,Customer,female,679,7719,2290.8571428571427
2020-12-27,Customer,male,297,4250,1233.48
2020-12-27,Customer,undisclosed,246,8096,1668.857142857143
2020-12-27,Subscriber,female,115,5123,916.5531914893617
2020-12-27,Subscriber,male,89,5723,787.8783783783783
2020-12-28,Customer,female,330,8466,2314.5185185185187
2020-12-28,Customer,male,117,8929,1957.9117647058824
2020-12-28,Customer,undisclosed,194,23472,2179.5897435897436
2020-12-28,Subscriber,female,149,3196,640.6315789473684
2020-12-28,Subscriber,male,82,179318,1473.01185770751
2020-12-28,Subscriber,undisclosed,170,1452,693.6666666666666
2020-12-29,Customer,female,462,3564,1483.7272727272727
2020-12-29,Customer,male,248,4326,1172.4285714285713
2020-12-29,Customer,undisclosed,171,6560,1269.5333333333333
2020-12-29,Subscriber,female,95,9687,636.8904109589041
2020-12-29,Subscriber,male,67,4382,568.8244897959183
2020-12-29,Subscriber,undisclosed,614,636,625.3333333333334
2020-12-30,Customer,female,268,3075,1434.0
2020-12-30,Customer,male,278,2568,1025.0
2020-12-30,Customer,undisclosed,235,3942,1356.6333333333334
2020-12-30,Subscriber,female,82,2640,660.2295081967213
2020-12-30,Subscriber,male,97,3712,638.6225490196078
2020-12-30,Subscriber,undisclosed,526,3127,1557.25
2020-12-31,Customer,female,546,2734,1391.4444444444443
2020-12-31,Customer,male,301,3208,1109.7916666666667
2020-12-31,Customer,undisclosed,411,181355,6900.8387096774195
2020-12-31,Subscriber,female,92,3259,706.2133333333334
2020-12-31,Subscriber,male,65,2899,670.92
2020-12-31,Subscriber,undisclosed,665,731,702.0
