startdate,usertype,gender,min_trip,max_trip,avg_trip
2020-12-17,Customer,female,526,1365,879.6666666666666
2020-12-17,Customer,male,218,4464,1416.888888888889
2020-12-17,Customer,undisclosed,357,6460,1485.2
2020-12-17,Subscriber,female,77,3692,1002.3
2020-12-17,Subscriber,male,68,182163,2690.775
2020-12-17,Subscriber,undisclosed,502,1425,815.6666666666666
2020-12-18,Customer,female,76,514159,3866.291479820628
2020-12-18,Customer,male,77,689999,3178.291086350975
2020-12-18,Customer,undisclosed,63,67796,1528.3202797202798
2020-12-18,Subscriber,female,63,468148,1771.668774966711
2020-12-18,Subscriber,male,61,1038693,1328.255236385398
2020-12-18,Subscriber,undisclosed,79,18497,998.615107913669
2020-12-19,Customer,female,85,193148,2770.4206128133706
2020-12-19,Customer,male,61,322877,2473.943396226415
2020-12-19,Customer,undisclosed,61,186195,1902.901268115942
2020-12-19,Subscriber,female,61,101041,1064.92936906756
2020-12-19,Subscriber,male,61,1047893,1331.3583637411177
2020-12-19,Subscriber,undisclosed,65,4494,877.7132352941177
2020-12-20,Customer,female,72,162128,2199.5537974683543
2020-12-20,Customer,male,61,352026,1809.629339305711
2020-12-20,Customer,undisclosed,62,168350,1774.4351503759399
2020-12-20,Subscriber,female,61,426574,1070.281479390175
2020-12-20,Subscriber,male,61,684136,953.7362766165267
2020-12-20,Subscriber,undisclosed,66,98625,1159.9407665505225
2020-12-21,Customer,female,94,85322,1488.8146718146718
2020-12-21,Customer,male,62,146723,1435.6872278664732
2020-12-21,Customer,undisclosed,62,91908,1402.7248677248676
2020-12-21,Subscriber,female,61,179364,905.4217943351472
2020-12-21,Subscriber,male,61,281940,813.3181389344059
2020-12-21,Subscriber,undisclosed,65,9233,837.666015625
2020-12-22,Customer,female,75,27665,1318.2226890756303
2020-12-22,Customer,male,61,102953,1226.0200892857142
2020-12-22,Customer,undisclosed,61,463244,1397.3175447075882
2020-12-22,Subscriber,female,62,157653,870.2624913654156
2020-12-22,Subscriber,male,61,813215,845.0650132331598
2020-12-22,Subscriber,undisclosed,67,5574,819.6643233743409
2020-12-23,Customer,female,61,250184,1549.4065934065934
2020-12-23,Customer,male,61,437062,1360.9117352056169
2020-12-23,Customer,undisclosed,62,307015,1622.620514820593
2020-12-23,Subscriber,female,61,448386,895.7396273036137
2020-12-23,Subscriber,male,61,963406,797.2544503467012
2020-12-23,Subscriber,undisclosed,72,6879,849.5590327169275
2020-12-24,Customer,female,84,80147,1448.900293255132
2020-12-24,Customer,male,63,413681,1992.7224398433127
2020-12-24,Customer,undisclosed,75,545243,2181.0816411106507
2020-12-24,Subscriber,female,61,45486,866.0464991982897
2020-12-24,Subscriber,male,61,524243,860.1679467485919
2020-12-24,Subscriber,undisclosed,62,9009,684.4
2020-12-25,Customer,female,89,40229,1703.1099195710456
2020-12-25,Customer,male,85,42912,1485.575221238938
2020-12-25,Customer,undisclosed,63,183248,1985.1222044728434
2020-12-25,Subscriber,female,61,157695,1022.9875151026984
2020-12-25,Subscriber,male,61,618995,997.4909420289855
2020-12-25,Subscriber,undisclosed,61,3952,730.4018691588785
2020-12-26,Customer,female,65,81756,1784.0566371681416
2020-12-26,Customer,male,63,255854,1413.340807174888
2020-12-26,Customer,undisclosed,65,160597,1637.618320610687
2020-12-26,Subscriber,female,61,251744,961.6536164565362
2020-12-26,Subscriber,male,61,494613,851.7369614512471
2020-12-26,Subscriber,undisclosed,63,3334,743.3404255319149
2020-12-27,Customer,female,67,512553,2361.3604240282684
2020-12-27,Customer,male,64,248415,1716.8607260726073
2020-12-27,Customer,undisclosed,62,391199,2186.6358876725367
2020-12-27,Subscriber,female,61,384754,964.0654271180495
2020-12-27,Subscriber,male,61,289410,854.4039619047619
2020-12-27,Subscriber,undisclosed,77,4574,824.7780126849894
2020-12-28,Customer,female,74,483966,2488.087068965517
2020-12-28,Customer,male,64,180121,1645.766388033436
2020-12-28,Customer,undisclosed,66,97025,1514.364091335627
2020-12-28,Subscriber,female,61,163594,909.1364675155077
2020-12-28,Subscriber,male,61,310742,805.4977963662529
2020-12-28,Subscriber,undisclosed,61,121882,990.9588477366256
2020-12-29,Customer,female,68,65053,1360.0619111709286
2020-12-29,Customer,male,64,184943,1358.2653309046752
2020-12-29,Customer,undisclosed,61,150578,1626.3829416884248
2020-12-29,Subscriber,female,61,369126,899.4206318995051
2020-12-29,Subscriber,male,61,488494,770.1223715099146
2020-12-29,Subscriber,undisclosed,61,256143,1160.1683006535948
2020-12-30,Customer,female,85,98328,1562.5238095238096
2020-12-30,Customer,male,72,262927,1637.8369441277082
2020-12-30,Customer,undisclosed,69,159792,1378.429090909091
2020-12-30,Subscriber,female,61,240877,889.2677311118824
2020-12-30,Subscriber,male,61,218304,772.4487275100214
2020-12-30,Subscriber,undisclosed,61,5514,777.0895008605852
2020-12-31,Customer,female,70,198477,2341.480582524272
2020-12-31,Customer,male,65,79783,1340.2087248322148
2020-12-31,Customer,undisclosed,61,314093,2015.3455377574371
2020-12-31,Subscriber,female,61,77994,837.9415455746367
2020-12-31,Subscriber,male,61,332322,806.1323312134643
2020-12-31,Subscriber,undisclosed,67,12171,842.7535885167464
